Symbol	MIIoocyte_FPKM	zygote_FPKM	early2cell_FPKM	2-cell_FPKM	4-cell_FPKM	8-cell_FPKM	ICM_FPKM	mESC_FPKM
Tmem14a	26.5174	21.1759	15.2957	2.84163	0.495674	0.050761	1.48441	0.702769
Gsta3	0	0.118939	0.240088	0	0	0.100161	13.2239	17.1766
Khdc1a,Khdc1b	2441.74	2017.2	1732.83	546.816	126.567	39.2556	6.74707	0.677664
Khdc1c	11.912	30.6007	17.0215	17.9071	6.93686	4.78783	0.280569	0
Mir30a	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0
B3gat2	0.585969	0.838938	1.39356	0.140096	0.0219139	0.387071	0.996551	0.853653
Col9a1	0	0	0.0147427	0	0	0	0	0.0280606
Lmbrd1	6.9631	6.66198	4.86141	10.085	46.9898	74.2077	7.09202	8.58799
Lgsn	0.0794507	0	0.0338764	0	0	0	0	0
Pih1d3	0.101587	0.0890519	0.0405796	0	0	0	0	0
Gm4850	0.951738	1.58289	9.53974	310.762	82.3979	19.9534	0.406111	0
Khdrbs2	2.57854	2.30761	0.903405	0.154811	0	0	0.0309641	0
1700001G17Rik	0.0977539	0.188584	0.308685	2.3748	0.920926	0.22078	0.841572	0
Rab23	16.1565	9.33597	7.57105	5.4587	5.58667	3.55517	2.46643	4.77976
Bag2	0	0	0.269293	0.434335	1.56879	0	0.431563	0
Bend6	8.14846	4.8375	6.12458	0.375455	0	0	0	0
Dst	4.89433	3.36518	3.72123	6.91786	2.05109	2.3791	2.58703	4.1536
Imp4	28.1624	52.9323	58.561	118.603	222.172	264.018	104.999	125.247
Ptpn18	2.20487	1.85215	1.52091	4.39555	4.33656	3.23781	11.5956	1.44046
Prss39	0	0	0.097628	0	0	1.37654	0.143642	0
Cfc1	0.0925529	0.276173	0.224333	0	0.0949612	0	5.09748	2.00999
Amer3	0	0	0	0.022388	0	0	0	0
AA619741	0.601056	0.418493	5.30143	0.0627559	0	0	0	0
Arhgef4	0.273082	0.149234	0.72326	0.396651	1.11591	0.81713	1.15122	0.0832238
Plekhb2	13.1282	7.05793	7.70802	2.65953	2.21275	0.962458	7.20421	8.94406
Hs6st1	3.463	2.67916	4.32854	3.65557	3.03533	7.93282	3.31473	7.09065
Arid5a	0.97368	0.746923	1.97127	4.92524	4.01001	1.09231	0.473825	0
Lman2l	1.73742	0.622374	1.04807	0.150122	0.321908	0.309219	0.0313024	0.00481776
Cnnm4	11.7894	7.98347	9.54921	17.3416	70.1863	61.7148	4.921	4.25198
Cnnm3	0.0368788	0.106538	0.140961	1.99933	2.11998	1.53411	0.806435	0.0749643
Fam178b	3.89036	2.17127	1.40371	0.249879	0	0	0.0725614	0.136139
Cox5b	1.12392	6.06985	18.8705	10.6425	17.0364	17.5154	19.1355	26.6914
4933424G06Rik	1.33057	2.16723	2.56951	0.217199	0	0	0	0
Zap70	0.27531	0.161688	0.310568	0.498809	5.14898	9.10621	0.364375	1.49402
Cnga3	0	0	0.0565902	0.133024	0.0823786	0.166213	5.06878	0
Inpp4a	21.498	24.9757	17.5019	13.9407	6.59778	1.28195	1.0965	5.02254
Unc50	1674.34	763.434	690.856	202.929	144.173	129.211	35.8339	64.0807
Lipt1	22.5862	84.1617	65.283	4.37774	11.1989	12.2357	5.41655	12.3724
Mrpl30	3.66998	16.1133	14.5487	20.077	47.5532	91.3762	127.488	161.204
Eif5b	108.096	61.6835	27.6495	93.6921	138.398	153.476	45.2453	35.5513
Rev1	0	0	0.1204	4.45714	0.468221	0.298065	0.793254	9.75859
Nms	0	0	0	0	0	0	0	0
Pdcl3	13.5771	27.825	20.1286	8.2814	17.5839	28.9419	56.5317	56.22
Npas2	26.1179	19.6384	12.0068	0.892774	0.571716	1.69989	0.0446022	0
Rpl31	0.325502	1.02217	0.689263	2.57613	7.18581	10.3074	18.8052	24.3055
Cnot11	14.0161	7.25549	9.00001	2.27107	3.06131	5.51968	4.01194	3.35668
Map4k4	1.77333	2.40367	0.983346	2.3252	0.43629	1.13297	4.0268	10.0779
Il1r2	1.89444	3.28464	2.36281	0.160196	0	0.079415	0.540272	0
Il1r1	5.70125	3.71301	2.93029	0.719045	0.162277	0.0497595	0.436514	0
Il1rl2	0.0731085	0.155462	0.0286513	0	0	0	0.467208	0
Il1rl1	0	0.034577	0	0	0	0	0.0101599	0
Il18r1	4.28763	2.01298	0.573642	0.190776	0	0	0.0410846	0
Il18rap	1.18968	1.93882	1.54507	0.393789	0.133973	0	0.0476343	0
Slc9a4	14.2081	6.27446	3.94849	0.622795	0	0	0.0147732	0
Slc9a2	0.262299	0.053751	0.0946379	0	0	0	0.0150546	0
Tmem182	17.2683	32.2984	33.7516	6.50264	0.372517	0	0.104837	0
Pou3f3	0	0.029501	0.113861	0.100731	0.0781741	0.133082	0.0327362	0
2900092D14Rik	0	0	0.020576	0.0623778	0	0.0603024	0	0
Mrps9	9.97132	12.5307	16.4326	10.2136	23.0309	24.4564	41.194	64.1974
Gpr45	0.0680177	0.0299192	0.0405321	0	0	0	0	0
AI597479	22.7011	29.4984	24.0618	7.11394	21.6939	14.5628	6.21967	12.6635
Nck2	0.282704	0.394896	0.262	0.216587	0.687484	3.80553	11.5511	0.577004
1500015O10Rik	0	0	0	0	0	0.0552704	0	0
Tpp2	16.814	14.8406	12.7948	6.03625	17.2456	20.1487	19.4324	29.0532
Bivm	11.2701	9.33074	9.73923	3.31703	0.176694	0.0316261	4.47927	7.10054
Ercc5	14.0043	6.68883	0.827768	1.6887	2.95485	1.57043	2.22486	5.73273
Gulp1	2.56512	3.06164	0.949319	0.348932	0	0	2.05558	0.42195
Col3a1	0	0.0125156	0.0405626	0	0	0	0	0
Wdr75	117.742	43.487	21.1153	103.25	164.154	155.354	65.7546	135.432
Dnahc7b	5.85873	8.7052	5.29775	1.42615	0.49371	0.217653	0.190692	0.0152423
Tmeff2	2.80877	2.49505	1.76105	5.01472	0.408669	0	0.0298435	0
Sdpr	0	0.0147973	0.038073	0	0	0	0.0985211	0
Stat4	41.2842	35.7679	22.5532	4.69189	0.687797	0	0.754274	18.9345
Stat1	2.4202	0.952425	1.35581	0.394868	0	0.172199	1.86921	5.52911
Tmem194b	6.29105	1.59076	1.48563	0.449283	0.530912	0.175024	0.821677	4.95054
Hibch	0.42467	0.119799	0.38848	2.3913	6.8034	9.08057	29.9582	36.255
Mstn	0	0.0272467	0	0	0	0	0	0
Ormdl1,Osgepl1	74.0626	48.1824	32.4124	5.36	22.334	35.1213	43.9552	60.2449
Ccdc150	0.670616	0.529616	0.325541	0.21506	0.0420635	0.97537	2.76627	0
Gtf3c3	2.44724	2.20084	1.57093	0.483038	0.0654648	0.0186702	0.0611087	0.0998491
Coq10b	125.557	144.064	133.176	33.6151	27.8354	30.3142	15.3996	36.1876
Hspe1	27.9004	28.8735	30.5762	24.3102	49.1355	59.3092	326.626	602.186
Mob4	580.569	209.135	174.642	59.1816	101.138	126.55	82.4095	166.272
Mars2	2.60597	1.04583	1.50471	13.5688	40.1059	19.5119	7.26394	8.94127
Plcl1	9.77924	6.8899	5.11079	0.143311	0.198593	0.0710018	0	0
9130227L01Rik	2.23403	1.31508	1.15355	2.03503	0.245397	0.127908	0.691868	0
9130024F11Rik	1.0229	2.01132	1.20211	0.722416	0.119586	0.734312	1.11576	0
1700066M21Rik	49.9087	19.0218	19.7313	5.73958	4.19601	1.70375	1.44414	4.32955
9430016H08Rik	0.912964	0	1.00115	19.8037	38.7829	55.1415	50.742	59.7562
Spats2l	0.155857	0.387334	0.411335	0.131201	0.18221	0.149232	0.283574	0.0832184
Sgol2	48.4051	30.8675	17.9608	35.9922	19.8622	24.682	12.6924	14.9713
Aox1	0	0	0.0484204	0.0197604	0	0	0.0118424	0.0247314
Aox3	0.0182586	0.0583245	0.193522	0	0	0	0	0
Aox4	1.13746	1.31836	0.800465	0.0977386	0.0416818	0.259078	0	0
Aox3l1	0.174162	0.0276153	0.0442219	0.0542031	0.0163544	0	0.105749	0.856469
Bzw1	31.4797	37.9412	38.3974	204.054	292.844	375.85	285.943	238.022
Nif3l1	15.3944	10.3295	11.3642	17.163	43.0926	55.5727	58.5872	118.373
Ndufb3	19.0746	34.7235	26.5116	36.6793	68.8105	98.3197	244.784	240.518
Gm20257	0	0.153681	0	0	0	0	0	0
Cflar	4.81746	5.15998	5.88699	1.53552	0.495661	0.859048	0.790785	0.178176
Casp8	11.3103	48.0886	29.0978	0.599101	0	0	0.93324	1.01067
Stradb	203.895	140.718	172.082	62.414	8.38628	3.16022	8.87598	3.79036
Cdk15	9.47994	5.87656	5.91343	1.00383	0.0760805	0.0615883	0	0
Fzd7	1.20813	0.248288	0.191808	1.28117	0.268286	0.0666644	0.311517	2.26635
Gm973	5.22617	7.29399	3.15533	0.413424	0.507832	0.397866	4.06241	5.64603
Nop58	85.1714	61.1479	11.0567	184.283	262.827	451.938	240.631	179.756
Snord70	0	0	0	0	0	0	0	0
Snord11	0	0	0	0	0	0	0	0
Bmpr2	12.5743	15.0109	15.2028	10.8135	3.8297	2.84532	1.73067	1.92412
Fam117b	23.3423	27.7622	18.1549	16.0957	4.1325	3.52025	4.28161	3.31486
Carf	0.871823	1.09578	1.31452	2.3543	2.24319	1.95429	3.19752	1.87814
Nbeal1	11.1593	10.6963	8.46439	7.35597	3.62795	9.38824	7.52031	8.38215
Cyp20a1	7.98673	8.88936	12.744	14.1215	12.4389	19.9515	9.23384	23.1385
Abi2	1.20693	1.8045	3.74983	1.18122	0.834543	1.78093	4.16964	5.45817
Raph1	9.73499	19.6075	9.49527	3.527	0.948226	1.67598	1.73271	0
Cd28	0	0	0	0.0306062	0	0.100008	0.876042	0
Ctla4	1.98547	1.5518	1.17425	0.64716	0.161556	0	0	0
Icos	0.0199246	0	0	0	0	0	0	0
9530026F06Rik	0	0	0.0781051	0	0.105396	0	0	0
Pard3b	0.207148	0.0952435	0.0385576	0.0720832	0.0812952	0.0250637	0	0.0125982
Nrp2	0.0725958	0.104964	0.0460645	0	0	0.00890229	0.34381	0.127581
Gm11602	0	0	0	0.48905	0.390138	0.842221	0.439305	0.378516
Eef1b2	24.1561	14.1231	25.7051	22.2443	88.7556	147.792	217.451	359.422
Snora41	0	0	0	0	0	178.466	0	1462.69
Gpr1,Zdbf2	0.0297696	0.34619	0.0310786	0.166842	0.171204	0.532253	1.11502	14.9042
Adam23	0	0.0719536	0.0274339	0.00649587	0	0	0.789751	1.46023
Fastkd2	18.0323	14.6142	12.6981	4.58699	12.1522	34.622	41.9219	34.3622
Gm13749	0	0	0	0	0	0	0	0
Creb1	0.892248	1.91071	2.67405	10.8013	7.87459	8.60078	2.78056	7.10672
2810408I11Rik	6.93165	0.717767	1.94135	1.14103	0.877523	0	0	0
Ccnyl1	16.2034	2.16239	1.70728	5.70669	3.15355	1.30595	2.47576	5.97429
Akr1cl	1.29011	1.96737	6.65207	50.8578	176.234	265.382	263.537	263.704
Pikfyve	8.70869	8.34496	8.3667	13.0708	10.7904	8.45571	7.47721	8.86552
Pth2r	0.0571474	0.370983	0.141167	0.0697082	0	0	0	0
Crygf	0	0	0	0	0	0	0.399773	0
Map2	1.87286	3.0962	2.46731	0.601472	0.185806	0.0506957	0.019326	0.17113
Unc80	1.21451	1.78884	2.00785	0.0722273	0.166858	0	0.173266	0
Rpe	90.9013	111.572	74.8247	23.3594	20.6953	23.6068	75.279	46.9908
Cps1	5.09061	4.11894	3.43296	0.450022	0	0.0227358	0.0544011	0
Spag16	7.71035	11.8251	11.6219	2.72155	0.860054	0.215429	0.183424	0.122183
Vwc2l	0.0158048	0.036057	0	0	0	0	0	0
Atic	15.0864	6.64835	5.23041	6.84779	7.4344	52.965	16.2943	36.6498
Apol7d	0	0	0	0	0	0	0.480648	0
Gm8883	0	0	0	0	0	0	0	0
Pecr	4.40938	2.10668	3.07066	2.86889	2.22389	1.01034	0.235918	0.0890765
Tmem169	19.5878	29.0889	26.4831	5.3266	0.671347	0.156017	0.0670444	0.0395624
Xrcc5	10.4564	30.1842	9.34197	4.3064	1.72727	2.27187	88.6062	114.308
Smarcal1	107.252	36.5073	16.5498	2.17425	2.4389	4.08293	14.2252	16.9959
Rpl37a	2.54784	3.57172	8.14113	71.9486	121.719	116.257	53.2408	100.307
Igfbp2	0	0	0.235561	5.62989	6.9497	1.5416	1.0567	66.5556
1700027A15Rik	0	0	0.245113	0	0	0	0	0
D530049I02Rik	0	0	0.159359	0	0	0	0	0
Rufy4	0	0.0402076	0	0.0976289	0.132903	0.212067	0	0
Cxcr2	0	0	0	0.0144955	0.0246813	0	0.0286513	0
Arpc2	159.945	124.764	160.401	98.6287	133.623	165.199	272.342	208.611
Gpbar1	0.34075	0.21837	0	0	0	0	0	0.223475
Pnkd	21.3561	15.4746	22.1339	6.83768	7.78953	13.8272	73.8287	69.1352
Gm216	0	0	0.219535	0	0	0.160397	0	0.10939
Slc11a1	0	0	0.239584	0.885252	0.469324	0.996698	2.1585	5.45469
Ctdsp1	0.849742	1.56367	3.23155	2.94079	1.27526	0.418025	1.95325	2.82634
Mir26b	0	0	0	0	0	0	0	0
Vil1	49.315	56.93	63.8308	13.2674	5.78647	4.54855	0.201958	2.20459
Rqcd1	25.0605	37.7496	37.988	31.6048	47.1167	51.3319	61.9045	62.0227
Plcd4	0	0	0	19.2106	27.024	29.6397	1.73368	0
Bcs1l	1.25046	0.934517	2.17586	3.7815	12.4327	11.3795	9.27341	20.7583
Stk36	34.6855	29.7332	32.9222	6.24	2.06289	0.439619	0.0883979	0.127811
Ttll4	18.2548	20.2298	15.7114	13.1225	10.6158	5.91422	4.10317	23.6864
Cyp27a1	0.936305	1.91133	1.33027	0.0606616	0.0878676	0.140048	0.0589326	0.0615984
Wnt6	0	0.0363657	0	0	0	0	1.61566	2.1204
Wnt10a	0	0	0	0	0	0	0	0
Cdk5r2	0.100572	0.0877883	0.169925	0.0205728	0	0.015886	0	0
Ccdc108	0	0	0	0.778839	0.0718151	0	0.0855857	0
Cnppd1	0.246029	0	0.144964	0.833027	0.165231	0.119779	0	0.20854
Fam134a	0.355428	0.334941	0.698357	9.45044	29.2305	20.37	5.3341	5.98954
Zfand2b	4.79768	5.83233	6.84248	6.2183	24.5117	63.9542	27.7687	33.0035
Ankzf1	4.74416	2.40533	2.43843	4.49836	10.7275	9.39395	8.73739	5.62206
Stk16	0	0.216119	0.796029	9.83544	45.3887	66.6175	21.0687	24.4941
Dnajb2	1.75033	2.2349	0.92026	0.984016	4.02516	3.12919	5.47898	3.97562
Des	0	0	0.10483	0.226519	0.0358793	0.142161	0.315435	21.4528
Speg	0.374953	0.318143	0.420109	0.0342373	0.475961	0.544107	0.25818	1.06694
Gmppa	0.542937	0.645915	1.43799	0.188342	3.40355	6.21478	16.6278	37.538
Asic4	0	0.0276075	0	0.042043	0	0	0	0
Tmem198	0.128097	0.136742	0.218869	0.0206879	0.0374742	0.219434	1.01996	0
Inha	0	0	0	0	0	0	0	3.41467
Stk11ip	0.663663	0.269801	0.17696	4.48623	17.5886	9.16757	5.85644	8.3516
Slc4a3	0.042611	0.029731	0.0837198	0.219322	0.570196	0.382982	0	3.94046
Gm17751	95.3267	204.77	164.347	54.0837	5.58002	1.31234	0.543203	0.0985729
Epha4	0	0.0534783	0.128442	6.30262	0.352595	0.365423	4.57531	0
Sgpp2	3.84671	1.59185	1.78241	0.245538	0	0.0329552	0	0.861791
Mogat1	0	0.068597	0.133008	1.61432	0.256882	0.180069	0	0.208513
Acsl3,Utp14b	144.115	86.6935	67.4257	75.5442	45.6325	24.9943	12.4906	25.9499
Kcne4	0	0.0187066	0	0	0	0	0	0
Mrpl44	54.4334	27.4334	36.6604	32.2012	86.2861	108.409	68.8654	79.4627
Fam124b	14.9205	20.9293	12.1863	8.29922	4.58887	11.1125	1.99526	0
1700016L21Rik	0	0	0	0	0	0	0	0
Nyap2	3.53776	2.50102	2.76171	0.300002	0	0	0.0202604	0
Rhbdd1	8.52986	6.29825	3.11779	9.66297	7.35775	4.62167	2.16257	0.516343
Col4a3	4.05238	6.973	6.28505	1.06874	0.265958	0.0888814	0.0475757	0.0208123
Mff	85.4031	386.133	489.93	41.1927	22.0788	19.9908	58.2285	74.1453
Agfg1	1.18564	6.33298	6.74517	8.38499	2.00825	3.45423	4.85191	22.3023
Ccl20	0	0	0.0880077	0.349749	0	0	0	0
Wdr69	73.4453	32.2677	40.4209	9.31611	0.737152	0.928082	0.0824709	0
Dner	4.93436	7.0414	5.35431	3.93653	1.14858	0	0	0
Mir5126	0	0	0	0	0	0	0	0
Fbxo36	6.17097	10.8726	16.0033	43.8556	44.8534	32.3538	11.9303	8.02261
Gm7609	1.92305	1.33968	2.30397	0.812801	1.04885	1.2959	0.0463514	0.0969863
Gm7609	0.273142	0	1.32557	10.2687	29.1442	10.3996	0	0
Sp140	0.169736	0.233101	1.89216	12.8055	38.2352	25.0947	2.72845	0
Sp100	1.1649	1.8063	1.29531	0.35158	0	0.058389	1.06904	0
Cab39	12.4762	10.9545	10.9348	42.0769	75.066	108.802	16.4816	3.48783
Itm2c	1.51717	0.838061	0.938457	0.371205	3.27155	3.38893	2.69832	13.9729
4933407L21Rik	0	0	0	0	0	0.105833	0	0
Spata3	0	0	0	0.0447286	0	0	0	0
2810459M11Rik	0	0	0.129748	0.250477	0.112186	0.26115	0.0158451	0.330979
Psmd1	236.515	108.243	47.1451	34.1081	63.3983	127.512	184.272	156.129
Armc9	3.31811	3.03471	2.33037	6.49961	8.11828	2.91931	5.55123	15.0897
B3gnt7	8.3829	1.75919	2.51581	0.930928	3.1996	3.95878	21.1347	15.4626
C130036L24Rik	0	0.39364	0.489437	0.414241	1.32433	0.157318	0.235359	0
1700019O17Rik	0	0	0.0356769	0.114353	0	0.0258611	0	0
Ptma	8.53439	5.13024	5.66945	67.3848	213.844	261.348	456.169	912.808
Pde6d	0	0.200232	0.144206	1.24558	0	0.275941	1.64384	0
Cops7b	35.4509	15.7538	13.2396	13.9698	45.2101	36.1192	13.1083	38.9565
Dis3l2	14.7299	7.91536	9.98559	0.55891	0.483422	1.63048	8.36234	4.61299
Akp3	1.55626	0.218643	0.364001	0.23494	0	0.265566	0	0
Prss56	0.525639	0.497997	0.861067	0.0928267	0	0.0238032	0	0
Chrnd	5.03145	3.99838	3.6081	0.428563	0.395088	1.09239	0.0339198	0
Chrng	3.20628	7.08386	10.4176	0.604854	0.215059	0	0	0
Eif4e2	3.68787	8.5382	6.53017	138.195	256.699	248.136	299.758	186.634
Efhd1	10.0764	6.00455	8.21654	16.7755	23.6712	64.5112	10.4279	0
Gigyf2	29.2331	30.9689	6.32253	107.473	104.423	102.036	22.0243	10.1833
3110079O15Rik	0	0	0	0	0	0	0	0
Neu2	0.082586	0	0.185236	0	0	0	0	0
Inpp5d	11.8193	5.97539	3.6327	0.600781	3.99238	9.66494	15.2084	16.47
Atg16l1	130.27	10.9111	9.04634	19.1915	45.2794	28.1874	13.5151	17.5202
Scarna6	14.1035	2.73736	0	16.9233	13.5266	5.23494	1.72223	0
Sag	0	0	0	0	0.23254	0.0259107	0	0
Dgkd	12.3953	9.13374	7.42978	4.76329	4.98611	2.61092	2.25688	3.92932
Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a9	0	0	0.0410766	0.389355	0.811138	0.427016	0.026246	0.217835
Mroh2a	0	0.0284389	0	0	0	0	0	0
Trpm8	0	0.0184778	0	0	0	0	0	0
Spp2	0	0	0	0	0	0	0	3.95022
Gm19589	0.0520531	0.12227	0	0	0	0	0.0205034	0
2410088K16Rik	0	0	0	0.655534	1.18814	3.04735	9.01013	8.77287
1700067G17Rik	0	0	0	0	0	0.240602	0	0
Sh3bp4	10.9084	4.07427	6.24848	0.708226	0.553964	1.83154	6.86828	15.5759
Agap1	14.656	5.5231	6.17995	1.65044	0.277828	0.220168	0.17154	3.94647
Gbx2	0	9.25831	6.36189	4.02628	0.000102561	3.10469e-05	0.0564848	0
Cxcr7	1.15556	1.46082	1.08338	0.0559028	0.421099	1.01469	3.55822	0.283251
Cops8	393.389	255.92	130.187	65.6565	98.0703	107.514	97.7304	106.675
Mlph	0.169903	0.045203	0.0764199	0	0	0	0	0
Prlh	0	0	0	0	0	0	0	0
Lrrfip1	243.088	156.495	138.106	47.3572	11.2354	3.31711	3.66812	1.56682
Rbm44	2.92263	3.59289	5.01222	5.64663	2.47955	1.63594	4.21703	6.46135
Ramp1	0.0783994	0.230557	0.0655293	0.0175138	0.158598	0.690092	0.0211448	0.273287
Ube2f	1.83666	4.94145	6.51088	7.43668	15.0794	22.2471	25.072	53.1356
Scly	0.193258	0.0219277	0.0258631	0.214199	0.0403973	0.021131	0.825312	3.40131
Espnl	0	0	0	0	0.014285	0.0195508	0	0
Klhl30	1.80911	0.954798	1.30513	0.212012	0	0.0141286	0.0508393	0
Fam132b	0.16624	0.28404	0.294692	0.502528	0.422109	0.538068	0.263261	0
Traf3ip1	0.698657	0.16975	0.140282	0.525548	2.42255	2.63018	2.18164	2.43509
Asb1	0.076006	0.44562	0.34899	0.103182	0.0631943	0.192388	1.03348	3.36522
Twist2	0.172673	0.138781	0.186118	0	0	0	0	0
Olfr1413	0	0	0	0	0	0	0	0.357674
Olfr1412	0	0	0	0	0	0.520739	0	0
Olfr1411	0	0	0	0	0	0	0	0
Olfr1410	0	0	0	0.196384	0	0	0.125143	0
Olfr12	0.0706812	0	0	0	0	0	0	0
Gpc1	0.406435	0.329557	0.397042	0.160198	0.321015	0.0543324	0.0558637	0.13283
Mir149	0	0	0	0	0	0	0	0
Dusp28	0.120013	0	0.399144	3.96083	5.07024	2.70527	1.91698	3.33568
Rnpepl1	0.363507	0.275883	0.211127	0.437508	1.8543	2.36489	2.17529	3.61774
Capn10	9.42544	5.0411	8.1561	7.18382	14.4491	6.28614	16.8193	7.32782
Gpr35	13.0371	23.6027	39.2165	2.07938	0.220048	0	0.17496	0
Aqp12	0.152238	0.175204	0.0610671	0	0	0	0	0
Agxt	0	0	0	0	0	0	0	0
Sned1	0.357032	0.0748866	0.0624451	0.0121054	0	0	0	0
Ppp1r7	9.42823	18.3325	14.9277	23.3063	31.2109	31.4275	22.9527	28.122
Ano7	0.0327415	0.435397	0.55724	0.13867	0	0.0935613	0	0.369158
Sept2	48.506	47.6304	46.7725	51.9714	56.2275	75.8859	131.97	132.74
Farp2	6.51367	4.13964	3.72602	2.05429	5.74431	3.84653	1.67856	0.238417
Bok	0	0	0.11711	2.72946	13.0038	77.803	19.7276	13.2014
Atg4b	73.6895	36.9435	25.9495	48.7515	174.835	317.788	135.635	29.5501
Ing5	13.1452	10.2266	7.04053	4.09261	11.4826	15.4512	12.2694	22.7666
D2hgdh	0	0.13806	0.0778982	0.546508	1.94417	0.97089	5.55838	1.28479
Gal3st2	0.116803	0.249201	2.29376	3.74518	1.40571	0.492489	0.329173	0.0391879
Gm9994	0	0	0.207935	0.0824042	0	0.0393254	0	0
Gm6086	6.15036	3.88443	2.74376	0.358597	0.111355	0.261419	0	0
Neu4	0.0140185	0	0	0	0	0	0.0216997	0.0395815
4930440C22Rik	0	0	0	0	0	0	0	0
Fam174a	0.0324669	0.667445	0.330496	0.904512	1.40303	2.79872	1.42019	2.25682
Gin1	1.27251	1.80035	1.20465	7.64288	11.9482	23.931	18.342	15.7766
1810006J02Rik	0	0	0	0	0	0	0.0971388	0
Slco6d1	0	0	0	0	0	0	0	0
Cntnap5b	0	0	0	0	0	0	0.0265748	0
Gm20268	0	0	0	0	0	0	0	0
Cdh20	4.71299	2.50731	2.86098	0.0704007	0	0.0255493	0.106417	4.95245
2310035C23Rik	9.93116	9.13484	13.0486	96.8928	32.6829	23.4217	10.4844	1.75771
Tnfrsf11a	0	0	0	0	0	0.0711603	0.0271167	0
Zcchc2	11.3999	5.67257	4.71226	4.3828	2.61659	0.933498	1.08987	1.25946
Phlpp1	2.56787	0.388343	0.51839	0.0836027	0.0644329	0.0810169	0.206712	2.3173
Kdsr	2.01226	0.98742	1.61496	2.38185	2.7163	1.7658	6.22049	5.27676
Serpinb5	0.0259499	0.107353	0.0880528	0.0435375	0.148125	0	0.31778	0
Serpinb12	3.85603	49.4968	31.7524	1.60316	0.134605	0	0.278029	0
Serpinb13	0	0	0.07174	0	0	0	0	0
Serpinb11	0	0	0	0	0	0	0	0
Serpinb7	0	0	0.0941047	0	0	0	0	0.123418
Serpinb2	0.0536115	0	0.0921016	0	0	0	0	0
Serpinb10	0.0390696	0.021653	0.0174519	0	0.0225442	0	0.0300828	0.0549041
Serpinb8	2.19387	3.32291	2.67938	0.0932307	0	0	0	0
